name,brand,manufacturer,certification_level,certification_description,ingredients,product_description,usage,image_url,page_number
EUKALYPTUS LIQUID SOAP,Dr. Bronner's,Dr. Bronner's Magic Soaps,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Aqua, Potassium Cocoate (Saponified Coconut Oil*‡), Potassium Palm Kernelate (Saponified Palm Kernel Oil*‡), Potassium Olivate (Saponified Olive Oil*‡), Glycerin*, Eucalyptus Globulus Oil,* Potassium Hempseedate (Saponified Hemp Oil*), Potassium Jojobate (Saponified Jojoba Oil*), Citric Acid, Tocopherol (Vitamin E), Helianthus Annuus Seed Oil (Sunflower Oil), Limonene♢
      * Certified Organic Ingredients
     ‡ Certified Fair Trade Ingredients
     ◊ From Natural Essential Oils",,,,
EYE DEFINER 02,Dr. Hauschka,Wala Heilmittel GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Hydrogenated Jojoba Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Caprylic/Capric Triglyceride, Hydrogenated Vegetable Oil, Butyrospermum Parkii (Shea) Butter, Canola Oil, Sclerocarya Birrea Seed Oil, Mica, Euphorbia Cerifera (Candelilla) Wax, Pyrus Cydonia Peel/Fruit Wax, Diatomaceous Earth (Solum Diatomeae), Glyceryl Caprylate, Anthyllis Vulneraria Extract, Hamamelis Virginiana (Witch Hazel) Bark/Leaf Extract, Camellia Sinensis Leaf Extract, Copernicia Cerifera (Carnauba) Wax, Helianthus Annuus (Sunflower) Seed Oil, Fragrance (Parfum)*, Citronellol*, Geraniol*, Linalool*, Tocopherol, Ascorbyl Palmitate, Iron Oxides (CI 77491, CI 77492, CI 77499), Titanium Dioxide (CI 77891).
     * from natural essential oils",,,,
FLÜSSIGSEIFE BIO-LAVENDEL BIO-MALVE,alverde Naturkosmetik,dm-drogerie markt GmbH + Co. KG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Sodium Coco-Sulfate, Lauryl Glucoside, Coco-Glucoside, Aloe Barbadensis Leaf Juice2, Maris Sal, Glycerin, Sodium Lactate, Levulinic Acid, Citric Acid, Alcohol2 denat., Sodium Levulinate, Sodium Anisate, Lactic Acid, Lavandula Hybrida Oil2, Lavandula Hybrida Flower Extract2, Malva Sylvestris Flower Extract2, Parfum3, Linalool3, Limonene3. 
     2 of controlled biological cultivation 
     3 from natural essential oils",,,,
LAVENDER LIQUID SOAP,Dr. Bronner's,Dr. Bronner's Magic Soaps,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Aqua, Potassium Cocoate (Saponified Coconut Oil*‡), Potassium Palm Kernelate (Saponified Palm Kernel Oil*‡), Potassium Olivate (Saponified Olive Oil*‡), Glycerin*, Lavandula Hybrida (Lavandin) Oil*, Potassium Hempseedate (Saponified Hemp Oil*), Potassium Jojobate (Saponified Jojoba Oil*), Lavandula Angustifolia (Lavender) oil*, Citric Acid, Tocopherol (Vitamin E), Helianthus Annuus Seed Oil (Sunflower Oil), Geraniol♢, Limonene♢, Linalool♢
      * Certified Organic Ingredients
     ‡ Certified Fair Trade Ingredients
     ◊ From Natural Essential Oils",,,,
LAVENDER ORGANIC PUMP SOAP,Dr. Bronner's,Dr. Bronner's Magic Soaps,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Sucrose (Cane Sugar*‡), Vitis Vinifera Juice (White Grape Juice*), Potassium Cocoate (Saponified Coconut Oil*‡), Potassium Palm Kernelate (Saponified Palm Kernel Oil*‡), Potassium Olivate (Saponified Olive Oil*‡), Potassium Hempate (Saponified Hemp Oil*), Potassium Jojobate (Saponified Jojoba Oil*), Lavandula Angustifolia Oil (Lavender Oil*), Glycerin*, Acacia Concinna Fruit Powder (Shikakai Powder*), Citric Acid, Tocopherol (Vitamin E), Helianthus Annuus Seed Oil ( Sunflower Seed Oil), Coumarin◊, Geraniol♢, Limonene♢, Linalool♢
      * Certified Organic Ingredients
     ‡ Certified Fair Trade Ingredients
     ◊ From Natural Essential Oils",,,,
LAVENDER SHAVING SOAP,Dr. Bronner's,Dr. Bronner's Magic Soaps,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.",,,,,
NAKED UNSCENTED / BABY BODY BALM,Dr. Bronner's,Dr. Bronner's Magic Soaps,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.",,,,,
ORANGE GINGER ORGANIC LIP BALM,Dr. Bronner's,Dr. Bronner's Magic Soaps,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Persea Gratissima Oil (Avocado*‡), Cera Flava (Beeswax,*), Simmondsia Chinensis Seed Oil (Jojoba*), Cannabis Sativa Seed Oil (Hemp*), Citrus Aurantium Dulcis Peel Oil (Orange*), Zingiber Officinale Root Oil (Ginger*), Tocopherol (Vitamin E), Limonene◊, Linalool◊, Citral◊, Geraniol◊
      * Certified Organic Ingredients
     ‡ Certified Fair Trade Ingredients
     ◊ From Natural Essential Oils",,,,
ORANGE LAVENDER LOTION,Dr. Bronner's,Dr. Bronner's Magic Soaps,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Aqua, Cocos Nucifera Oil (Coconut*‡), Simmondsia Chinensis Seed Oil (Jojoba*), Alcohol*‡, Persea Gratissima Oil (Avocado*‡), Cannabis Sativa Seed Oil (Hemp*), Lavandula Angustifolia Oil (Lavender*), Quillaja Saponaria Wood Extract,* Xanthan Gum, Tocopherol (Vitamin E), Limonene◊, Linalool◊, Geraniol◊, Coumarin◊.  
      * Certified Organic Ingredients
     ‡ Certified Fair Trade Ingredients
     ◊ From Natural Essential Oils",,,,
PATSCHOULI LIME LOTION,Dr. Bronner's,Dr. Bronner's Magic Soaps,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Aqua, Cocos Nucifera Oil (Coconut*‡), Simmondsia Chinensis Seed Oil (Jojoba*), Alcohol*‡, Persea Gratissima Oil (Avocado*‡), Cannabis Sativa Seed Oil (Hemp*), Pogostemon Cablin Leaf Oil (Patchouli*), Citrus Aurantifolia Oil (Lime*), Quillaja Saponaria Wood Extract*, Xanthan Gum, Tocopherol (Vitamin E), Limonene◊, Linalool◊, Citral◊, Geraniol◊, Coumarin◊
      * Certified Organic Ingredients
     ‡ Certified Fair Trade Ingredients
     ◊ From Natural Essential Oils",,,,
PEPPERMINT BAR SOAP,Dr. Bronner's,Dr. Bronner's Magic Soaps,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Sodium Cocoate (Saponified Coconut Oil*‡), Sodium Palmate (Saponified Palm Oil*‡), Aqua, Glycerin,* Mentha Arvensis Leaf Oil, Sodium Olivate (Saponified Olive Oil*‡), Cannabis Sativa Seed Oil (Hemp Oil*), Simmondsia Chinensis Seed Oil (Jojoba Oil*), Mentha Piperita Oil (Peppermint Oil), Maris Sal (Sea Salt), Citric Acid, Tocopherol (Vitamin E), Helianthus Annuus Seed Oil (Sunflower Oil), Limonene◊
      * Certified Organic Ingredients
     ‡ Certified Fair Trade Ingredients
     ◊ From Natural Essential Oils",,,,
PEPPERMINT BODY BALM,Dr. Bronner's,Dr. Bronner's Magic Soaps,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.",,,,,
PEPPERMINT HAIR CREME,Dr. Bronner's,Dr. Bronner's Magic Soaps,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Water, Organic Coconut Oil*, Organic Ethyl Alcohol*, Organic Jojoba Oil, Organic Avocado Oil, Organic Hemp Oil, Organic Peppermint Oil, Organic Quillaja Saponaria Extract, Xanthan Gum, Tocopherol
     *CERTIFIED FAIR TRADE INGREDIENTS",,,,
PEPPERMINT LOTION,Dr. Bronner's,Dr. Bronner's Magic Soaps,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Aqua, Cocos Nucifera Oil (Coconut*‡), Simmondsia Chinensis Seed Oil (Jojoba*), Alcohol*‡, Persea Gratissima Oil (Avocado*‡), Cannabis Sativa Seed Oil (Hemp*), Mentha Piperita Oil (Peppermint*), Quillaja Saponaria Wood Extract,* Xanthan Gum, Tocopherol (Vitamin E), Limonene◊.
      * Certified Organic Ingredients
     ‡ Certified Fair Trade Ingredients
     ◊ From Natural Essential Oils",,,,
PEPPERMINT ORGANIC LIP BALM,Dr. Bronner's,Dr. Bronner's Magic Soaps,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Organic Persea Gratissima (Avocado) Oil*, Organic Beeswax, Organic Simmondsia Chinensis (Jojoba) Seed Oil, Organic Cannabis Sativa (Hemp) Seed Oil, Organic Mentha Piperita (Peppermint) Oil, Tocopherol, Limonene
     *CERTIFIED FAIR TRADE INGREDIENTS",,,,
TEA TREE BAR SOAP,Dr. Bronner's,Dr. Bronner's Magic Soaps,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Sodium Cocoate (Saponified Coconut Oil*‡), Sodium Palmate (Saponified Palm Oil*‡), Aqua, Glycerin,* Melaleuca Alternifolia Leaf Oil (Tea Tree Oil), Sodium Olivate (Saponified Olive Oil*‡), Cannabis Sativa Seed Oil (Hemp Oil*), Simmondsia Chinensis Seed Oil (Jojoba Oil*), Maris Sal (Sea Salt), Citric Acid, Tocopherol (Vitamin E), Helianthus Annuus Seed Oil (Sunflower Oil), Limonene◊
      * Certified Organic Ingredients
     ‡ Certified Fair Trade Ingredients
     ◊ From Natural Essential Oils",,,,
WHITE MALLOW BODY LOTION,Weleda,Weleda AG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Water (Aqua), Cocos Nucifera (Coconut) Oil*, Sesamum Indicum (Sesame) Seed Oil*, Glycerin, Alcohol, Beeswax (Cera Alba)*, Hydrogenated Coco-Glycerides, Theobroma Cacao (Cocoa) Seed Butter*, Borago Officinalis Seed Oil, Carthamus Tinctorius (Safflower) Seed Oil*, Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables*, Glyceryl Stearate SE, Prunus Amygdalus Dulcis (Sweet Almond) Oil*, Althaea Officinalis Root Extract*, Viola Tricolor Extract, Cetearyl Alcohol, Cetearyl Glucoside, Xanthan Gum, Glyceryl Caprylate, Squalane.
     *of controlled biological cultivation",,,,
WHITE MALLOW FACE CREAM,Weleda,Weleda AG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Water (Aqua), Cocos Nucifera (Coconut) Oil*, Sesamum Indicum (Sesame) Seed Oil*, Glycerin, Alcohol*, Prunus Amygdalus Dulcis (Sweet Almond) Oil*, Beeswax (Cera Alba)*, Glyceryl Stearate SE, Borago Officinalis Seed Oil, Carthamus Tinctorius (Safflower) Seed Oil*, Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables*, Cetearyl Alcohol, Cetearyl Glucoside, Hydrogenated Coco-Glycerides, Althaea Officinalis Root Extract*, Viola Tricolor Extract, Lactic Acid, Xanthan Gum, Glyceryl Caprylate.
     *of controlled biological cultivation",,,,
CITRUS BAR SOAP,Dr. Bronner's,Dr. Bronner's Magic Soaps,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Sodium Cocoate (Saponified Coconut Oil*‡), Sodium Palmate (Saponified Palm Oil*‡), Aqua, Glycerin,* Limonene,◊ Citrus Aurantium Dulcis Peel Oil (Orange Oil*), Sodium Olivate (Saponified Olive Oil*‡), Cannabis Sativa Seed Oil (Hemp Oil*), Simmondsia Chinensis Seed Oil (Jojoba Oil*), Citrus Limon Peel Oil (Lemon Oil*), Citrus Aurantifolia Oil (Lime Oil*), Maris Sal (Sea Salt), Citric Acid, Tocopherol (Vitamin E), Helianthus Annuus Seed Oil (Sunflower Oil), Citral◊
      * Certified Organic Ingredients
     ‡ Certified Fair Trade Ingredients
     ◊ From Natural Essential Oils",,,,
CITRUS ORANGE BODY BALM,Dr. Bronner's,Dr. Bronner's Magic Soaps,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.",,,,,
CONCEALER 02 MEDIUM,Terra Naturi Naturkosmetik,LOGOCOS Naturkosmetik GMBH & CO. KG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Aqua, Glycine Soja Oil*, Glycerin, Isoamyl Laurate, Alcohol*, Glyceryl Oleate Citrate, Silica, Palmitic Acid, Stearic Acid, Cetearyl Alcohol, Sodium Stearoyl Glutamate, Sodium Levulinate, Caprylic/Capric Triglyceride, Magnesium Aluminum Silicate, Titanium Dioxide, Xanthan Gum, Mica, Sodium Anisate, Tocopherol, Lactic Acid, Levulinic Acid, Prunus Armeniaca Kernel Oil*, Helianthus Annuus Seed Oil*, Euterpe Oleracea Fruit Oil*, Canola Oil*, Aloe Barbadensis Leaf Extract*, Parfum**, CI 77891, CI 77492, CI 77491, CI 77499
       * from certified organic agriculture
     ** from natural essential oils",,,,
EUCALYPTUS BAR SOAP,Dr. Bronner's,Dr. Bronner's Magic Soaps,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Sodium Cocoate (Saponified Coconut Oil*‡), Sodium Palmate (Saponified Palm Oil*‡), Aqua, Glycerin,* Eucalyptus Globulus Leaf Oil,* Sodium Olivate (Saponified Olive Oil*‡), Cannabis Sativa Seed Oil (Hemp Oil*), Simmondsia Chinensis Seed Oil (Jojoba Oil*), Maris Sal (Sea Salt), Citric Acid, Tocopherol (Vitamin E), Helianthus Annuus Seed Oil (Sunflower Oil), Limonene◊
      * Certified Organic Ingredients
     ‡ Certified Fair Trade Ingredients
     ◊ From Natural Essential Oilsn.",,,,
FOUNDATION SILK-MATT 01 IVORY,Terra Naturi Naturkosmetik,LOGOCOS Naturkosmetik GMBH & CO. KG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Glycine Soja Oil*, Glycerin, Alcohol denat.*, Simmondsia Chinensis Seed Oil*, Talc, Hydrogenated Vegetable Oil, Potassium Cetyl Phosphate, Palmitic Acid, Stearic Acid, Hydrogenated Palm Glycerides, Prunus Armeniaca Kernel Oil*, Butyrospermum Parkii Butter*, Euterpe Oleracea Fruit Oil*, Aloe Barbadensis Leaf Juice Powder*, Sorbitol, Hydrogenated Lecithin, Sodium Levulinate, Xanthan Gum, Lactic Acid, Lauryl PCA, Sodium Anisate, Galactoarabinan, Tocopherol, Helianthus Annuus Seed Oil*, Parfum**, CI 77891, CI 77499, CI 77492, CI 77491.
       * from certified organic agriculture
     ** from natural essential oils",,,,
FOUNDATION SILK-MATT 02 NATURAL BEIGE,Terra Naturi Naturkosmetik,LOGOCOS Naturkosmetik GMBH & CO. KG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Glycine Soja Oil*, Glycerin, Alcohol denat.*, Hydrogenated Vegetable Oil, Simmondsia Chinensis Seed Oil*, Talc, Potassium Cetyl Phosphate, Palmitic Acid, Stearic Acid, Hydrogenated Palm Glycerides, Prunus Armeniaca Kernel Oil*, Butyrospermum Parkii Butter*, Euterpe Oleracea Fruit Oil*, Aloe Barbadensis Leaf Juice Powder*, Sorbitol, Hydrogenated Lecithin, Sodium Levulinate, Xanthan Gum, Lactic Acid, Lauryl PCA, Sodium Anisate, Galactoarabinan, Tocopherol, Helianthus Annuus Seed Oil*, Parfum**, CI 77891, CI 77499, CI 77492, CI 77491.
       * from certified organic agriculture
     ** from natural essential oils",,,,
FOUNDATION SILK-MATT 03 SOFT NOISETTE,Terra Naturi Naturkosmetik,LOGOCOS Naturkosmetik GMBH & CO. KG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Glycine Soja Oil*, Glycerin, Hydrogenated Vegetable Oil, Alcohol denat.*, Simmondsia Chinensis Seed Oil*, Talc, Potassium Cetyl Phosphate, Palmitic Acid, Stearic Acid, Hydrogenated Palm Glycerides, Prunus Armeniaca Kernel Oil*, Butyrospermum Parkii Butter*, Euterpe Oleracea Fruit Oil*, Aloe Barbadensis Leaf Juice Powder*, Sorbitol, Hydrogenated Lecithin, Sodium Levulinate, Xanthan Gum, Lactic Acid, Lauryl PCA, Sodium Anisate, Galactoarabinan, Tocopherol, Helianthus Annuus Seed Oil*, Parfum**, CI 77891, CI 77499, CI 77492, CI 77491.
       * from certified organic agriculture
     ** from natural essential oils",,,,
